"filename", "language", "C++", "C", "GLSL", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\details.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff-details.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff.csv", "CSV", 0, 0, 0, 0, 24, 0, 0, 0, 24
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.csv", "CSV", 0, 0, 0, 0, 38, 0, 0, 0, 38
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 0, 147, 0, 0, 0, 0, 1, -20, 128
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.h", "C++", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 0, 139, 0, 0, 0, 0, 3, 23, 165
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 32, 0, 0, 0, 0, 0, 1, 3, 36
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\AaravC-Projects\MinecraftRecreated\main.c", "C", 0, 2, 0, 0, 0, 0, 0, -3, -1
"c:\AaravC-Projects\MinecraftRecreated\player.c", "C", 0, 19, 0, 0, 0, 0, 0, 9, 28
"c:\AaravC-Projects\MinecraftRecreated\player.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 0, 184, 0, 0, 0, 0, 10, 51, 245
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", 15, 0, 0, 0, 0, 0, 0, -1, 14
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 0, 0, 87, 0, 0, 0, 3, 27, 117
"c:\AaravC-Projects\MinecraftRecreated\shader.vert", "GLSL", 0, 0, 8, 0, 0, 0, 0, -1, 7
"c:\AaravC-Projects\MinecraftRecreated\worldDiskStorage.c", "C", 0, 45, 0, 0, 0, 0, 2, 9, 56
"c:\AaravC-Projects\MinecraftRecreated\worldDiskStorage.h", "C++", 7, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 67, 551, 95, 122, 62, 1, 20, 129, 1047
